UserName,RepoName,RepoUrl,UserIDUrl,Star
mrdoob,three.js,https://github.com/mrdoob/three.js,https://github.com/mrdoob,78800
libgdx,libgdx,https://github.com/libgdx/libgdx,https://github.com/libgdx,19600
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,https://github.com/pmndrs,16700
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,https://github.com/BabylonJS,15800
aframevr,aframe,https://github.com/aframevr/aframe,https://github.com/aframevr,13700
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,https://github.com/ssloy,12000
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,https://github.com/lettier,12000
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,https://github.com/FreeCAD,10700
metafizzy,zdog,https://github.com/metafizzy/zdog,https://github.com/metafizzy,9000
CesiumGS,cesium,https://github.com/CesiumGS/cesium,https://github.com/CesiumGS,8200
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,https://github.com/timzhang642,7600
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,https://github.com/a1studmuffin,7000
isl-org,Open3D,https://github.com/isl-org/Open3D,https://github.com/isl-org,6100
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,https://github.com/domlysz,4800
spritejs,spritejs,https://github.com/spritejs/spritejs,https://github.com/spritejs,4800
blender,blender,https://github.com/blender/blender,https://github.com/blender,4700
tensorspace-team,tensorspace,https://github.com/tensorspace-team/tensorspace,https://github.com/tensorspace-team,4600
openscad,openscad,https://github.com/openscad/openscad,https://github.com/openscad,4600
jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,https://github.com/jagenjo,4500
YadiraF,PRNet,https://github.com/YadiraF/PRNet,https://github.com/YadiraF,4500
AaronJackson,vrn,https://github.com/AaronJackson/vrn,https://github.com/AaronJackson,4400
ssloy,tinyraytracer,https://github.com/ssloy/tinyraytracer,https://github.com/ssloy,4000
google,model-viewer,https://github.com/google/model-viewer,https://github.com/google,3900
mosra,magnum,https://github.com/mosra/magnum,https://github.com/mosra,3800
gfxfundamentals,webgl-fundamentals,https://github.com/gfxfundamentals/webgl-fundamentals,https://github.com/gfxfundamentals,3400
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,https://github.com/FyroxEngine,3300
cleardusk,3DDFA,https://github.com/cleardusk/3DDFA,https://github.com/cleardusk,3200
tengbao,vanta,https://github.com/tengbao/vanta,https://github.com/tengbao,3100
jasonlong,isometric-contributions,https://github.com/jasonlong/isometric-contributions,https://github.com/jasonlong,3100
cnr-isti-vclab,meshlab,https://github.com/cnr-isti-vclab/meshlab,https://github.com/cnr-isti-vclab,2700
