UserName,RepoName,RepoUrl,UserIDUrl,Star
public-apis,public-apis,https://github.com/public-apis/public-apis,https://github.com/public-apis,179000
httpie,httpie,https://github.com/httpie/httpie,https://github.com/httpie,53700
neovim,neovim,https://github.com/neovim/neovim,https://github.com/neovim,50600
strapi,strapi,https://github.com/strapi/strapi,https://github.com/strapi,42900
tiangolo,fastapi,https://github.com/tiangolo/fastapi,https://github.com/tiangolo,41400
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,https://github.com/hoppscotch,36200
slatedocs,slate,https://github.com/slatedocs/slate,https://github.com/slatedocs,33600
hasura,graphql-engine,https://github.com/hasura/graphql-engine,https://github.com/hasura,25400
YMFE,yapi,https://github.com/YMFE/yapi,https://github.com/YMFE,23500
ccxt,ccxt,https://github.com/ccxt/ccxt,https://github.com/ccxt,23200
encode,django-rest-framework,https://github.com/encode/django-rest-framework,https://github.com/encode,22700
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,https://github.com/Binaryify,22700
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,https://github.com/littlecodersh,22000
paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,https://github.com/paularmstrong,20800
FallibleInc,security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers,https://github.com/FallibleInc,20000
Kong,insomnia,https://github.com/Kong/insomnia,https://github.com/Kong,19500
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,https://github.com/microsoft,18500
pubkey,rxdb,https://github.com/pubkey/rxdb,https://github.com/pubkey,17000
shieldfy,API-Security-Checklist,https://github.com/shieldfy/API-Security-Checklist,https://github.com/shieldfy,16700
directus,directus,https://github.com/directus/directus,https://github.com/directus,13700
learn-anything,learn-anything,https://github.com/learn-anything/learn-anything,https://github.com/learn-anything,13600
ChainSafe,web3.js,https://github.com/ChainSafe/web3.js,https://github.com/ChainSafe,13500
youfou,wxpy,https://github.com/youfou/wxpy,https://github.com/youfou,13100
jsdoc,jsdoc,https://github.com/jsdoc/jsdoc,https://github.com/jsdoc,12700
BrainJS,brain.js,https://github.com/BrainJS/brain.js,https://github.com/BrainJS,12400
fangzesheng,free-api,https://github.com/fangzesheng/free-api,https://github.com/fangzesheng,11800
OpenAPITools,openapi-generator,https://github.com/OpenAPITools/openapi-generator,https://github.com/OpenAPITools,11100
graphile,postgraphile,https://github.com/graphile/postgraphile,https://github.com/graphile,11100
go-chi,chi,https://github.com/go-chi/chi,https://github.com/go-chi,10900
postmanlabs,httpbin,https://github.com/postmanlabs/httpbin,https://github.com/postmanlabs,10500
