UserName,RepoName,RepoUrl,UserIDUrl,Star
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,https://github.com/aspnetboilerplate,10100
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,https://github.com/dotnet,10100
bitwarden,server,https://github.com/bitwarden/server,https://github.com/bitwarden,9100
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,https://github.com/nopSolutions,6900
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,https://github.com/ElectronNET,6200
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,https://github.com/RicoSuter,4900
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,https://github.com/thangchung,4500
JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,https://github.com/JimBobSquarePants,2500
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,https://github.com/smartstore,2400
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,https://github.com/dotnet,2200
loic-sharma,BaGet,https://github.com/loic-sharma/BaGet,https://github.com/loic-sharma,1900
mjebrahimi,Awesome-Microservices-NetCore,https://github.com/mjebrahimi/Awesome-Microservices-NetCore,https://github.com/mjebrahimi,1600
TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,https://github.com/TrilonIO,1500
TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,https://github.com/TrilonIO,1200
lampo1024,DncZeus,https://github.com/lampo1024/DncZeus,https://github.com/lampo1024,1200
MarimerLLC,csla,https://github.com/MarimerLLC/csla,https://github.com/MarimerLLC,979
riganti,dotvvm,https://github.com/riganti/dotvvm,https://github.com/riganti,596
cornflourblue,aspnet-core-3-jwt-authentication-api,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,https://github.com/cornflourblue,587
json-api-dotnet,JsonApiDotNetCore,https://github.com/json-api-dotnet/JsonApiDotNetCore,https://github.com/json-api-dotnet,537
antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell,https://github.com/antonioCoco,516
chsakell,mvcarchitecture,https://github.com/chsakell/mvcarchitecture,https://github.com/chsakell,452
brthor,Gofer.NET,https://github.com/brthor/Gofer.NET,https://github.com/brthor,432
YAFNET,YAFNET,https://github.com/YAFNET/YAFNET,https://github.com/YAFNET,423
Maarten88,rrod,https://github.com/Maarten88/rrod,https://github.com/Maarten88,380
IvanJosipovic,BlazorTable,https://github.com/IvanJosipovic/BlazorTable,https://github.com/IvanJosipovic,372
SapphireDb,SapphireDb,https://github.com/SapphireDb/SapphireDb,https://github.com/SapphireDb,367
Taritsyn,WebMarkupMin,https://github.com/Taritsyn/WebMarkupMin,https://github.com/Taritsyn,345
chsakell,aspnet-core-identity,https://github.com/chsakell/aspnet-core-identity,https://github.com/chsakell,327
EEParker,aspnetcore-vueclimiddleware,https://github.com/EEParker/aspnetcore-vueclimiddleware,https://github.com/EEParker,314
ALMMa,datatables.aspnet,https://github.com/ALMMa/datatables.aspnet,https://github.com/ALMMa,284
