UserName,RepoName,RepoUrl,UserIDUrl,Star
metafizzy,infinite-scroll,https://github.com/metafizzy/infinite-scroll,https://github.com/metafizzy,7000
ljianshu,Blog,https://github.com/ljianshu/Blog,https://github.com/ljianshu,6900
developit,unfetch,https://github.com/developit/unfetch,https://github.com/developit,5300
jquery-form,form,https://github.com/jquery-form/form,https://github.com/jquery-form,5100
olifolkerd,tabulator,https://github.com/olifolkerd/tabulator,https://github.com/olifolkerd,4400
Studio-42,elFinder,https://github.com/Studio-42/elFinder,https://github.com/Studio-42,4200
ded,reqwest,https://github.com/ded/reqwest,https://github.com/ded,2900
dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl,2700
LeaVerou,bliss,https://github.com/LeaVerou/bliss,https://github.com/LeaVerou,2400
elbywan,wretch,https://github.com/elbywan/wretch,https://github.com/elbywan,2300
noelboss,featherlight,https://github.com/noelboss/featherlight,https://github.com/noelboss,2000
wendux,Ajax-hook,https://github.com/wendux/Ajax-hook,https://github.com/wendux,2000
yisainan,web-interview,https://github.com/yisainan/web-interview,https://github.com/yisainan,1900
craftpip,jquery-confirm,https://github.com/craftpip/jquery-confirm,https://github.com/craftpip,1800
ptaoussanis,sente,https://github.com/ptaoussanis/sente,https://github.com/ptaoussanis,1600
joaomilho,Enterprise,https://github.com/joaomilho/Enterprise,https://github.com/joaomilho,1500
nette,tracy,https://github.com/nette/tracy,https://github.com/nette,1500
u014427391,jeeplatform,https://github.com/u014427391/jeeplatform,https://github.com/u014427391,1300
loadingio,css-spinner,https://github.com/loadingio/css-spinner,https://github.com/loadingio,1200
MoOx,pjax,https://github.com/MoOx/pjax,https://github.com/MoOx,1200
codingforentrepreneurs,eCommerce,https://github.com/codingforentrepreneurs/eCommerce,https://github.com/codingforentrepreneurs,1200
danielm,uploader,https://github.com/danielm/uploader,https://github.com/danielm,1100
renderedtext,render_async,https://github.com/renderedtext/render_async,https://github.com/renderedtext,1000
swlib,saber,https://github.com/swlib/saber,https://github.com/swlib,942
proyecto26,RestClient,https://github.com/proyecto26/RestClient,https://github.com/proyecto26,857
webcreate,infinite-ajax-scroll,https://github.com/webcreate/infinite-ajax-scroll,https://github.com/webcreate,842
opensource-socialnetwork,opensource-socialnetwork,https://github.com/opensource-socialnetwork/opensource-socialnetwork,https://github.com/opensource-socialnetwork,837
k8w,tsrpc,https://github.com/k8w/tsrpc,https://github.com/k8w,814
rapidjs,rapid.js,https://github.com/rapidjs/rapid.js,https://github.com/rapidjs,709
csxiaoyaojianxian,JavaScriptStudy,https://github.com/csxiaoyaojianxian/JavaScriptStudy,https://github.com/csxiaoyaojianxian,593
