UserName,RepoName,RepoUrl,UserIDUrl,Star
serverless,serverless,https://github.com/serverless/serverless,https://github.com/serverless,42100
localstack,localstack,https://github.com/localstack/localstack,https://github.com/localstack,38500
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,https://github.com/donnemartin,22400
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,https://github.com/bregman-arie,21100
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,https://github.com/ramitsurana,12400
aws,aws-cli,https://github.com/aws/aws-cli,https://github.com/aws,12000
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,https://github.com/kubernetes-sigs,11800
pulumi,pulumi,https://github.com/pulumi/pulumi,https://github.com/pulumi,11300
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,https://github.com/donnemartin,10100
apereo,cas,https://github.com/apereo/cas,https://github.com/apereo,9200
mozilla,sops,https://github.com/mozilla/sops,https://github.com/mozilla,9100
aws,chalice,https://github.com/aws/chalice,https://github.com/aws,8600
aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js,https://github.com/aws-amplify,8600
apex,up,https://github.com/apex/up,https://github.com/apex,8500
aws,serverless-application-model,https://github.com/aws/serverless-application-model,https://github.com/aws,8400
google,go-cloud,https://github.com/google/go-cloud,https://github.com/google,8200
aws,aws-cdk,https://github.com/aws/aws-cdk,https://github.com/aws,8200
caprover,caprover,https://github.com/caprover/caprover,https://github.com/caprover,8100
angristan,openvpn-install,https://github.com/angristan/openvpn-install,https://github.com/angristan,7400
aws,aws-sdk-go,https://github.com/aws/aws-sdk-go,https://github.com/aws,7400
boto,boto3,https://github.com/boto/boto3,https://github.com/boto,7000
aws,aws-sdk-js,https://github.com/aws/aws-sdk-js,https://github.com/aws,6900
hashicorp,terraform-provider-aws,https://github.com/hashicorp/terraform-provider-aws,https://github.com/hashicorp,6800
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,https://github.com/GoogleCloudPlatform,6700
aws,amazon-sagemaker-examples,https://github.com/aws/amazon-sagemaker-examples,https://github.com/aws,6500
awslabs,aws-shell,https://github.com/awslabs/aws-shell,https://github.com/awslabs,6400
gruntwork-io,terratest,https://github.com/gruntwork-io/terratest,https://github.com/gruntwork-io,5900
aws,aws-sam-cli,https://github.com/aws/aws-sam-cli,https://github.com/aws,5900
99designs,aws-vault,https://github.com/99designs/aws-vault,https://github.com/99designs,5800
donnemartin,dev-setup,https://github.com/donnemartin/dev-setup,https://github.com/donnemartin,5600
