UserName,RepoName,RepoUrl,UserIDUrl,Star
flutter,flutter,https://github.com/flutter/flutter,https://github.com/flutter,135000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,https://github.com/justjavac,87000
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,https://github.com/Genymobile,60800
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github,48800
google,material-design-icons,https://github.com/google/material-design-icons,https://github.com/google,44900
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,https://github.com/wasabeef,42000
square,okhttp,https://github.com/square/okhttp,https://github.com/square,41500
android,architecture-samples,https://github.com/android/architecture-samples,https://github.com/android,40100
square,retrofit,https://github.com/square/retrofit,https://github.com/square,39400
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,https://github.com/Solido,39200
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,https://github.com/PhilJay,34600
fastlane,fastlane,https://github.com/fastlane/fastlane,https://github.com/fastlane,34000
airbnb,lottie-android,https://github.com/airbnb/lottie-android,https://github.com/airbnb,32400
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,https://github.com/shadowsocks,32299
bumptech,glide,https://github.com/bumptech/glide,https://github.com/bumptech,32200
Trinea,android-open-project,https://github.com/Trinea/android-open-project,https://github.com/Trinea,30800
Blankj,AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,https://github.com/Blankj,30400
xitu,gold-miner,https://github.com/xitu/gold-miner,https://github.com/xitu,30100
bilibili,ijkplayer,https://github.com/bilibili/ijkplayer,https://github.com/bilibili,29900
zxing,zxing,https://github.com/zxing/zxing,https://github.com/zxing,29000
skylot,jadx,https://github.com/skylot/jadx,https://github.com/skylot,28900
laurent22,joplin,https://github.com/laurent22/joplin,https://github.com/laurent22,28000
codepath,android_guides,https://github.com/codepath/android_guides,https://github.com/codepath,27700
square,leakcanary,https://github.com/square/leakcanary,https://github.com/square,27200
alibaba,fastjson,https://github.com/alibaba/fastjson,https://github.com/alibaba,24100
scwang90,SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,https://github.com/scwang90,23300
CymChad,BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,https://github.com/CymChad,22600
react-native-elements,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements,22000
google,iosched,https://github.com/google/iosched,https://github.com/google,21100
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,https://github.com/NativeScript,20900
