UserName,RepoName,RepoUrl,UserIDUrl,Star
ansible,ansible,https://github.com/ansible/ansible,https://github.com/ansible,52000
trailofbits,algo,https://github.com/trailofbits/algo,https://github.com/trailofbits,24500
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,https://github.com/StreisandEffect,22600
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,https://github.com/bregman-arie,21100
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,https://github.com/kubernetes-sigs,11800
ansible,awx,https://github.com/ansible/awx,https://github.com/ansible,10600
easzlab,kubeasz,https://github.com/easzlab/kubeasz,https://github.com/easzlab,7700
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,https://github.com/geerlingguy,5400
khuedoan,homelab,https://github.com/khuedoan/homelab,https://github.com/khuedoan,5200
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,https://github.com/ansible-semaphore,4700
rundeck,rundeck,https://github.com/rundeck/rundeck,https://github.com/rundeck,4500
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,https://github.com/geerlingguy,4300
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,https://github.com/Tikam02,4300
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,https://github.com/KubeOperator,4200
clong,DetectionLab,https://github.com/clong/DetectionLab,https://github.com/clong,3300
ansible-community,molecule,https://github.com/ansible-community/molecule,https://github.com/ansible-community,3300
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,https://github.com/opendevops-cn,3000
werf,werf,https://github.com/werf/werf,https://github.com/werf,2900
welliamcao,OpsManage,https://github.com/welliamcao/OpsManage,https://github.com/welliamcao,2900
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,https://github.com/netbootxyz,2800
ansible-community,ansible-lint,https://github.com/ansible-community/ansible-lint,https://github.com/ansible-community,2700
dev-sec,ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening,https://github.com/dev-sec,2600
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,https://github.com/MichaelCade,2600
alixaxel,chrome-aws-lambda,https://github.com/alixaxel/chrome-aws-lambda,https://github.com/alixaxel,2500
litmuschaos,litmus,https://github.com/litmuschaos/litmus,https://github.com/litmuschaos,2500
roots,trellis,https://github.com/roots/trellis,https://github.com/roots,2300
ansistrano,deploy,https://github.com/ansistrano/deploy,https://github.com/ansistrano,2200
openshift,openshift-ansible,https://github.com/openshift/openshift-ansible,https://github.com/openshift,2000
fboender,ansible-cmdb,https://github.com/fboender/ansible-cmdb,https://github.com/fboender,2000
pytest-dev,pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,https://github.com/pytest-dev,2000
