UserName,RepoName,RepoUrl,UserIDUrl,Star
arendst,Tasmota,https://github.com/arendst/Tasmota,https://github.com/arendst,17100
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,https://github.com/MarlinFirmware,12600
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,https://github.com/rwaldron,12500
arduino,Arduino,https://github.com/arduino/Arduino,https://github.com/arduino,12400
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech,9600
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,https://github.com/tinygo-org,9400
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,https://github.com/espressif,8100
hybridgroup,gobot,https://github.com/hybridgroup/gobot,https://github.com/hybridgroup,7600
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,https://github.com/gurugio,7300
platformio,platformio-core,https://github.com/platformio/platformio-core,https://github.com/platformio,5600
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,https://github.com/bblanchon,5500
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,https://github.com/tzapu,5000
hybridgroup,cylon,https://github.com/hybridgroup/cylon,https://github.com/hybridgroup,3900
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,https://github.com/Arduino-IRremote,3500
blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,https://github.com/blynkkk,3300
arduino,arduino-cli,https://github.com/arduino/arduino-cli,https://github.com/arduino,3200
NectarJS,nectarjs,https://github.com/NectarJS/nectarjs,https://github.com/NectarJS,3200
olikraus,u8g2,https://github.com/olikraus/u8g2,https://github.com/olikraus,2800
gioblu,PJON,https://github.com/gioblu/PJON,https://github.com/gioblu,2600
1technophile,OpenMQTTGateway,https://github.com/1technophile/OpenMQTTGateway,https://github.com/1technophile,2500
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,https://github.com/Serial-Studio,2300
scottlawsonbc,audio-reactive-led-strip,https://github.com/scottlawsonbc/audio-reactive-led-strip,https://github.com/scottlawsonbc,2200
isl-org,OpenBot,https://github.com/isl-org/OpenBot,https://github.com/isl-org,2100
crankyoldgit,IRremoteESP8266,https://github.com/crankyoldgit/IRremoteESP8266,https://github.com/crankyoldgit,2000
scottbez1,splitflap,https://github.com/scottbez1/splitflap,https://github.com/scottbez1,2000
nRF24,RF24,https://github.com/nRF24/RF24,https://github.com/nRF24,1800
stm32duino,Arduino_Core_STM32,https://github.com/stm32duino/Arduino_Core_STM32,https://github.com/stm32duino,1800
Bodmer,TFT_eSPI,https://github.com/Bodmer/TFT_eSPI,https://github.com/Bodmer,1700
blinker-iot,blinker-library,https://github.com/blinker-iot/blinker-library,https://github.com/blinker-iot,1700
ThingPulse,esp8266-oled-ssd1306,https://github.com/ThingPulse/esp8266-oled-ssd1306,https://github.com/ThingPulse,1600
