UserName,RepoName,RepoUrl,UserIDUrl,Star
atom,atom,https://github.com/atom/atom,https://github.com/atom,56700
themerdev,themer,https://github.com/themerdev/themer,https://github.com/themerdev,4600
nteract,hydrogen,https://github.com/nteract/hydrogen,https://github.com/nteract,3800
shd101wyy,markdown-preview-enhanced,https://github.com/shd101wyy/markdown-preview-enhanced,https://github.com/shd101wyy,3500
miniflux,v2,https://github.com/miniflux/v2,https://github.com/miniflux,3300
atom,teletype,https://github.com/atom/teletype,https://github.com/atom,2400
mehcode,awesome-atom,https://github.com/mehcode/awesome-atom,https://github.com/mehcode,1900
mmcdole,gofeed,https://github.com/mmcdole/gofeed,https://github.com/mmcdole,1800
joefitzgerald,go-plus,https://github.com/joefitzgerald/go-plus,https://github.com/joefitzgerald,1500
Glavin001,atom-beautify,https://github.com/Glavin001/atom-beautify,https://github.com/Glavin001,1500
simplepie,simplepie,https://github.com/simplepie/simplepie,https://github.com/simplepie,1400
t9md,atom-vim-mode-plus,https://github.com/t9md/atom-vim-mode-plus,https://github.com/t9md,1400
ocaml,merlin,https://github.com/ocaml/merlin,https://github.com/ocaml,1400
kurtmckee,feedparser,https://github.com/kurtmckee/feedparser,https://github.com/kurtmckee,1400
MagicStack,MagicPython,https://github.com/MagicStack/MagicPython,https://github.com/MagicStack,1300
atom,apm,https://github.com/atom/apm,https://github.com/atom,1200
file-icons,atom,https://github.com/file-icons/atom,https://github.com/file-icons,1200
kettanaito,atomic-layout,https://github.com/kettanaito/atomic-layout,https://github.com/kettanaito,1100
atom,github,https://github.com/atom/github,https://github.com/atom,992
nmdias,FeedKit,https://github.com/nmdias/FeedKit,https://github.com/nmdias,957
nathanbuchar,atom-one-dark-terminal,https://github.com/nathanbuchar/atom-one-dark-terminal,https://github.com/nathanbuchar,946
danhper,atomic-chrome,https://github.com/danhper/atomic-chrome,https://github.com/danhper,927
jesseweed,seti-ui,https://github.com/jesseweed/seti-ui,https://github.com/jesseweed,888
fwcd,kotlin-language-server,https://github.com/fwcd/kotlin-language-server,https://github.com/fwcd,863
prettier,prettier-atom,https://github.com/prettier/prettier-atom,https://github.com/prettier,770
raphamorim,lucario,https://github.com/raphamorim/lucario,https://github.com/raphamorim,740
atom-community,atom-script,https://github.com/atom-community/atom-script,https://github.com/atom-community,728
jpmonette,feed,https://github.com/jpmonette/feed,https://github.com/jpmonette,715
jasonmunro,cypht,https://github.com/jasonmunro/cypht,https://github.com/jasonmunro,692
jekyll,jekyll-feed,https://github.com/jekyll/jekyll-feed,https://github.com/jekyll,691
