UserName,RepoName,RepoUrl,UserIDUrl,Star
sindresorhus,awesome,https://github.com/sindresorhus/awesome,https://github.com/sindresorhus,188000
vinta,awesome-python,https://github.com/vinta/awesome-python,https://github.com/vinta,116000
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted,76700
avelino,awesome-go,https://github.com/avelino/awesome-go,https://github.com/avelino,74800
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,https://github.com/trimstray,59100
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,https://github.com/papers-we-love,53000
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,https://github.com/521xueweihan,52100
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github,48800
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,https://github.com/jaywcjlove,47500
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ,45000
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,https://github.com/sindresorhus,43600
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,https://github.com/wasabeef,42000
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,https://github.com/Solido,39200
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,https://github.com/prakhar1989,39100
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,https://github.com/vsouza,39000
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,https://github.com/MunGell,38500
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,https://github.com/binhnguyennus,37300
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,https://github.com/fffaraz,35700
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,https://github.com/tiimgreen,33800
dypsilon,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,https://github.com/dypsilon,33100
akullpp,awesome-java,https://github.com/akullpp/awesome-java,https://github.com/akullpp,31300
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,https://github.com/serhii-londar,29400
dkhamsing,open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,https://github.com/dkhamsing,29300
brillout,awesome-react-components,https://github.com/brillout/awesome-react-components,https://github.com/brillout,28900
ziadoz,awesome-php,https://github.com/ziadoz/awesome-php,https://github.com/ziadoz,26200
herrbischoff,awesome-macos-command-line,https://github.com/herrbischoff/awesome-macos-command-line,https://github.com/herrbischoff,25600
rust-unofficial,awesome-rust,https://github.com/rust-unofficial/awesome-rust,https://github.com/rust-unofficial,24100
goabstract,Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,https://github.com/goabstract,23900
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,https://github.com/alebcay,22900
sindresorhus,awesome-electron,https://github.com/sindresorhus/awesome-electron,https://github.com/sindresorhus,22400
