UserName,RepoName,RepoUrl,UserIDUrl,Star
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,https://github.com/bregman-arie,21100
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,https://github.com/ramitsurana,12400
microsoft,recommenders,https://github.com/microsoft/recommenders,https://github.com/microsoft,12200
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,https://github.com/Azure,11400
pulumi,pulumi,https://github.com/pulumi/pulumi,https://github.com/pulumi,11300
mozilla,sops,https://github.com/mozilla/sops,https://github.com/mozilla,9100
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,https://github.com/microsoft,8300
google,go-cloud,https://github.com/google/go-cloud,https://github.com/google,8200
caprover,caprover,https://github.com/caprover/caprover,https://github.com/caprover,8100
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,https://github.com/microsoft,6600
node-formidable,formidable,https://github.com/node-formidable/formidable,https://github.com/node-formidable,6100
midwayjs,midway,https://github.com/midwayjs/midway,https://github.com/midwayjs,5300
infracost,infracost,https://github.com/infracost/infracost,https://github.com/infracost,4900
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,https://github.com/thangchung,4500
budtmo,docker-android,https://github.com/budtmo/docker-android,https://github.com/budtmo,4200
cloud-custodian,cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,https://github.com/cloud-custodian,4000
nccgroup,ScoutSuite,https://github.com/nccgroup/ScoutSuite,https://github.com/nccgroup,3900
aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,https://github.com/aquasecurity,3800
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,https://github.com/bridgecrewio,3800
Azure,autorest,https://github.com/Azure/autorest,https://github.com/Azure,3600
simov,grant,https://github.com/simov/grant,https://github.com/simov,3500
Azure,azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,https://github.com/Azure,3300
microsoft,SynapseML,https://github.com/microsoft/SynapseML,https://github.com/microsoft,3100
hashicorp,terraform-provider-azurerm,https://github.com/hashicorp/terraform-provider-azurerm,https://github.com/hashicorp,3100
Azure,azure-powershell,https://github.com/Azure/azure-powershell,https://github.com/Azure,2900
Azure,azure-cli,https://github.com/Azure/azure-cli,https://github.com/Azure,2900
Azure,MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,https://github.com/Azure,2800
mlabouardy,komiser,https://github.com/mlabouardy/komiser,https://github.com/mlabouardy,2700
APIs-guru,openapi-directory,https://github.com/APIs-guru/openapi-directory,https://github.com/APIs-guru,2700
learntocloud,learn-to-cloud,https://github.com/learntocloud/learn-to-cloud,https://github.com/learntocloud,2400
