UserName,RepoName,RepoUrl,UserIDUrl,Star
babel,babel,https://github.com/babel/babel,https://github.com/babel,40400
nylas,nylas-mail,https://github.com/nylas/nylas-mail,https://github.com/nylas,24600
kriasoft,react-starter-kit,https://github.com/kriasoft/react-starter-kit,https://github.com/kriasoft,21100
swc-project,swc,https://github.com/swc-project/swc,https://github.com/swc-project,20100
avajs,ava,https://github.com/avajs/ava,https://github.com/avajs,19600
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,https://github.com/electron-react-boilerplate,19000
SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,https://github.com/SimulatedGREG,14700
grab,front-end-guide,https://github.com/grab/front-end-guide,https://github.com/grab,14200
jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,https://github.com/jamiebuilds,10700
grommet,grommet,https://github.com/grommet/grommet,https://github.com/grommet,7800
developit,htm,https://github.com/developit/htm,https://github.com/developit,7400
angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,https://github.com/angular-fullstack,6100
documentationjs,documentation,https://github.com/documentationjs/documentation,https://github.com/documentationjs,5500
insin,nwb,https://github.com/insin/nwb,https://github.com/insin,5400
ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,https://github.com/ben-rogerson,5300
egoist,poi,https://github.com/egoist/poi,https://github.com/egoist,5300
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,https://github.com/thinkjs,5300
transitive-bullshit,create-react-library,https://github.com/transitive-bullshit/create-react-library,https://github.com/transitive-bullshit,4600
babel,babel-loader,https://github.com/babel/babel-loader,https://github.com/babel,4600
jaredpalmer,backpack,https://github.com/jaredpalmer/backpack,https://github.com/jaredpalmer,4500
duxianwei520,react,https://github.com/duxianwei520/react,https://github.com/duxianwei520,4400
fkling,astexplorer,https://github.com/fkling/astexplorer,https://github.com/fkling,4400
babel,minify,https://github.com/babel/minify,https://github.com/babel,4300
tleunen,babel-plugin-module-resolver,https://github.com/tleunen/babel-plugin-module-resolver,https://github.com/tleunen,3200
andywer,webpack-blocks,https://github.com/andywer/webpack-blocks,https://github.com/andywer,3000
babel,babel-eslint,https://github.com/babel/babel-eslint,https://github.com/babel,3000
kunalkapadia,express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,https://github.com/kunalkapadia,2800
thx,gogocode,https://github.com/thx/gogocode,https://github.com/thx,2800
privatenumber,esbuild-loader,https://github.com/privatenumber/esbuild-loader,https://github.com/privatenumber,2700
uidotdev,react-course,https://github.com/uidotdev/react-course,https://github.com/uidotdev,2500
