UserName,RepoName,RepoUrl,UserIDUrl,Star
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,https://github.com/jlevy,102000
nvm-sh,nvm,https://github.com/nvm-sh/nvm,https://github.com/nvm-sh,55200
junegunn,fzf,https://github.com/junegunn/fzf,https://github.com/junegunn,41900
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,https://github.com/dylanaraps,28300
koalaman,shellcheck,https://github.com/koalaman/shellcheck,https://github.com/koalaman,27700
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,https://github.com/mathiasbynens,27400
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,https://github.com/LeCoupa,26700
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,https://github.com/acmesh-official,25300
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,https://github.com/alebcay,22900
starship,starship,https://github.com/starship/starship,https://github.com/starship,22100
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,https://github.com/jaywcjlove,17800
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,https://github.com/Nyr,14400
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,https://github.com/dylanaraps,14200
rbenv,rbenv,https://github.com/rbenv/rbenv,https://github.com/rbenv,13900
powerline,powerline,https://github.com/powerline/powerline,https://github.com/powerline,13100
shelljs,shelljs,https://github.com/shelljs/shelljs,https://github.com/shelljs,13000
Bash-it,bash-it,https://github.com/Bash-it/bash-it,https://github.com/Bash-it,12800
jessfraz,dockerfiles,https://github.com/jessfraz/dockerfiles,https://github.com/jessfraz,12300
faressoft,terminalizer,https://github.com/faressoft/terminalizer,https://github.com/faressoft,12300
withfig,autocomplete,https://github.com/withfig/autocomplete,https://github.com/withfig,10500
denisidoro,navi,https://github.com/denisidoro/navi,https://github.com/denisidoro,10200
codota,TabNine,https://github.com/codota/TabNine,https://github.com/codota,9000
rgcr,m-cli,https://github.com/rgcr/m-cli,https://github.com/rgcr,8700
alexanderepstein,Bash-Snippets,https://github.com/alexanderepstein/Bash-Snippets,https://github.com/alexanderepstein,8600
kanaka,mal,https://github.com/kanaka/mal,https://github.com/kanaka,8400
direnv,direnv,https://github.com/direnv/direnv,https://github.com/direnv,8400
skywind3000,awesome-cheatsheets,https://github.com/skywind3000/awesome-cheatsheets,https://github.com/skywind3000,8100
carlospolop,PEASS-ng,https://github.com/carlospolop/PEASS-ng,https://github.com/carlospolop,7600
angristan,openvpn-install,https://github.com/angristan/openvpn-install,https://github.com/angristan,7400
extrawurst,gitui,https://github.com/extrawurst/gitui,https://github.com/extrawurst,7200
