UserName,RepoName,RepoUrl,UserIDUrl,Star
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,https://github.com/bitcoin,61700
ccxt,ccxt,https://github.com/ccxt/ccxt,https://github.com/ccxt,23200
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,https://github.com/HelloZeroNet,17300
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,https://github.com/freqtrade,15700
askmike,gekko,https://github.com/askmike/gekko,https://github.com/askmike,9900
bbfamily,abu,https://github.com/bbfamily/abu,https://github.com/bbfamily,8700
solana-labs,solana,https://github.com/solana-labs/solana,https://github.com/solana-labs,7200
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,https://github.com/lbryio,7100
dvf,blockchain,https://github.com/dvf/blockchain,https://github.com/dvf,6700
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,https://github.com/yeasy,5900
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,https://github.com/lightningnetwork,5800
butor,blackbird,https://github.com/butor/blackbird,https://github.com/butor,5500
spesmilo,electrum,https://github.com/spesmilo/electrum,https://github.com/spesmilo,5500
btcsuite,btcd,https://github.com/btcsuite/btcd,https://github.com/btcsuite,4700
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,https://github.com/bitcoinjs,4500
bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj,https://github.com/bitcoinj,4200
bisq-network,bisq,https://github.com/bisq-network/bisq,https://github.com/bisq-network,3900
CryptoSignal,Crypto-Signal,https://github.com/CryptoSignal/Crypto-Signal,https://github.com/CryptoSignal,3800
michaelgrosner,tribeca,https://github.com/michaelgrosner/tribeca,https://github.com/michaelgrosner,3700
coinpride,CryptoList,https://github.com/coinpride/CryptoList,https://github.com/coinpride,3600
Scanate,EthList,https://github.com/Scanate/EthList,https://github.com/Scanate,3600
RomelTorres,alpha_vantage,https://github.com/RomelTorres/alpha_vantage,https://github.com/RomelTorres,3600
jesse-ai,jesse,https://github.com/jesse-ai/jesse,https://github.com/jesse-ai,3500
Zheaoli,awesome-coins,https://github.com/Zheaoli/awesome-coins,https://github.com/Zheaoli,3500
bitpay,wallet,https://github.com/bitpay/wallet,https://github.com/bitpay,3400
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,https://github.com/btcpayserver,3300
SqueezerIO,squeezer,https://github.com/SqueezerIO/squeezer,https://github.com/SqueezerIO,3300
Jeiwan,blockchain_go,https://github.com/Jeiwan/blockchain_go,https://github.com/Jeiwan,3200
cointop-sh,cointop,https://github.com/cointop-sh/cointop,https://github.com/cointop-sh,3000
bitcoin-wallet,bitcoin-wallet,https://github.com/bitcoin-wallet/bitcoin-wallet,https://github.com/bitcoin-wallet,2700
