UserName,RepoName,RepoUrl,UserIDUrl,Star
ccxt,ccxt,https://github.com/ccxt/ccxt,https://github.com/ccxt,23200
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,https://github.com/python-telegram-bot,17600
discordjs,discord.js,https://github.com/discordjs/discord.js,https://github.com/discordjs,17300
hubotio,hubot,https://github.com/hubotio/hubot,https://github.com/hubotio,16100
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,https://github.com/InstaPy,13800
RasaHQ,rasa,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ,13500
wechaty,wechaty,https://github.com/wechaty/wechaty,https://github.com/wechaty,12000
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,https://github.com/gunthercox,12000
howdyai,botkit,https://github.com/howdyai/botkit,https://github.com/howdyai,10600
botpress,botpress,https://github.com/botpress/botpress,https://github.com/botpress,9600
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,https://github.com/sfyc23,8800
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,https://github.com/tgbot-collection,8600
leon-ai,leon,https://github.com/leon-ai/leon,https://github.com/leon-ai,8500
microsoft,ailab,https://github.com/microsoft/ailab,https://github.com/microsoft,6900
EZFNDEV,EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,https://github.com/EZFNDEV,6900
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,https://github.com/microsoft,6700
maxbbraun,trump2cash,https://github.com/maxbbraun/trump2cash,https://github.com/maxbbraun,6100
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,https://github.com/yagop,5900
deepmipt,DeepPavlov,https://github.com/deepmipt/DeepPavlov,https://github.com/deepmipt,5600
botman,botman,https://github.com/botman/botman,https://github.com/botman,5600
telegraf,telegraf,https://github.com/telegraf/telegraf,https://github.com/telegraf,5300
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,https://github.com/pedroslopez,4800
axa-group,nlp.js,https://github.com/axa-group/nlp.js,https://github.com/axa-group,4800
jef,streetmerchant,https://github.com/jef/streetmerchant,https://github.com/jef,4800
ohld,igbot,https://github.com/ohld/igbot,https://github.com/ohld,4100
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,https://github.com/Mrs4s,3900
Yoctol,bottender,https://github.com/Yoctol/bottender,https://github.com/Yoctol,3800
PokemonGoF,PokemonGo-Bot,https://github.com/PokemonGoF/PokemonGo-Bot,https://github.com/PokemonGoF,3700
chrisleekr,binance-trading-bot,https://github.com/chrisleekr/binance-trading-bot,https://github.com/chrisleekr,3600
snipsco,snips-nlu,https://github.com/snipsco/snips-nlu,https://github.com/snipsco,3600
