UserName,RepoName,RepoUrl,UserIDUrl,Star
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,https://github.com/Genymobile,60800
neovim,neovim,https://github.com/neovim/neovim,https://github.com/neovim,50600
git,git,https://github.com/git/git,https://github.com/git,41000
obsproject,obs-studio,https://github.com/obsproject/obs-studio,https://github.com/obsproject,35900
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,https://github.com/fffaraz,35700
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,https://github.com/serhii-londar,29400
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,https://github.com/FFmpeg,28100
vim,vim,https://github.com/vim/vim,https://github.com/vim,26100
curl,curl,https://github.com/curl/curl,https://github.com/curl,23500
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,https://github.com/ggreer,23200
huihut,interview,https://github.com/huihut/interview,https://github.com/huihut,22100
ruby,ruby,https://github.com/ruby/ruby,https://github.com/ruby,18800
mpv-player,mpv,https://github.com/mpv-player/mpv,https://github.com/mpv-player,17700
google,flatbuffers,https://github.com/google/flatbuffers,https://github.com/google,17400
pbatard,rufus,https://github.com/pbatard/rufus,https://github.com/pbatard,17300
ossrs,srs,https://github.com/ossrs/srs,https://github.com/ossrs,17100
oracle,graal,https://github.com/oracle/graal,https://github.com/oracle,16500
radareorg,radare2,https://github.com/radareorg/radare2,https://github.com/radareorg,15800
microsoft,vcpkg,https://github.com/microsoft/vcpkg,https://github.com/microsoft,14800
shadowsocks,shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,https://github.com/shadowsocks,14700
allinurl,goaccess,https://github.com/allinurl/goaccess,https://github.com/allinurl,14300
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,https://github.com/kovidgoyal,13500
jarun,nnn,https://github.com/jarun/nnn,https://github.com/jarun,13400
vurtun,nuklear,https://github.com/vurtun/nuklear,https://github.com/vurtun,13400
facebook,infer,https://github.com/facebook/infer,https://github.com/facebook,12900
CoatiSoftware,Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,https://github.com/CoatiSoftware,12400
TheAlgorithms,C,https://github.com/TheAlgorithms/C,https://github.com/TheAlgorithms,12300
hashcat,hashcat,https://github.com/hashcat/hashcat,https://github.com/hashcat,11700
qmk,qmk_firmware,https://github.com/qmk/qmk_firmware,https://github.com/qmk,11500
s-matyukevich,raspberry-pi-os,https://github.com/s-matyukevich/raspberry-pi-os,https://github.com/s-matyukevich,11100
