UserName,RepoName,RepoUrl,UserIDUrl,Star
CSSEGISandData,COVID-19,https://github.com/CSSEGISandData/COVID-19,https://github.com/CSSEGISandData,28300
covid19india,covid19india-react,https://github.com/covid19india/covid19india-react,https://github.com/covid19india,6900
nytimes,covid-19-data,https://github.com/nytimes/covid-19-data,https://github.com/nytimes,6700
tokyo-metropolitan-gov,covid19,https://github.com/tokyo-metropolitan-gov/covid19,https://github.com/tokyo-metropolitan-gov,6300
owid,covid-19-data,https://github.com/owid/covid-19-data,https://github.com/owid,4900
pcm-dpc,COVID-19,https://github.com/pcm-dpc/COVID-19,https://github.com/pcm-dpc,3900
ieee8023,covid-chestxray-dataset,https://github.com/ieee8023/covid-chestxray-dataset,https://github.com/ieee8023,2800
disease-sh,API,https://github.com/disease-sh/API,https://github.com/disease-sh,2300
geohot,corona,https://github.com/geohot/corona,https://github.com/geohot,2200
WorldHealthOrganization,app,https://github.com/WorldHealthOrganization/app,https://github.com/WorldHealthOrganization,2100
ahmadawais,corona-cli,https://github.com/ahmadawais/corona-cli,https://github.com/ahmadawais,1800
corona-warn-app,cwa-server,https://github.com/corona-warn-app/cwa-server,https://github.com/corona-warn-app,1800
ExpDev07,coronavirus-tracker-api,https://github.com/ExpDev07/coronavirus-tracker-api,https://github.com/ExpDev07,1600
github,covid19-dashboard,https://github.com/github/covid19-dashboard,https://github.com/github,1500
soroushchehresa,awesome-coronavirus,https://github.com/soroushchehresa/awesome-coronavirus,https://github.com/soroushchehresa,1500
mhdhejazi,CoronaTracker,https://github.com/mhdhejazi/CoronaTracker,https://github.com/mhdhejazi,1500
neherlab,covid19_scenarios,https://github.com/neherlab/covid19_scenarios,https://github.com/neherlab,1400
covidpass-org,covidpass,https://github.com/covidpass-org/covidpass,https://github.com/covidpass-org,1200
pomber,covid19,https://github.com/pomber/covid19,https://github.com/pomber,1200
chandrikadeb7,Face-Mask-Detection,https://github.com/chandrikadeb7/Face-Mask-Detection,https://github.com/chandrikadeb7,1200
datasets,covid-19,https://github.com/datasets/covid-19,https://github.com/datasets,1100
chrismattmann,tika-python,https://github.com/chrismattmann/tika-python,https://github.com/chrismattmann,1100
FoldingAtHome,coronavirus,https://github.com/FoldingAtHome/coronavirus,https://github.com/FoldingAtHome,1100
lindawangg,COVID-Net,https://github.com/lindawangg/COVID-Net,https://github.com/lindawangg,1100
cyberman54,ESP32-Paxcounter,https://github.com/cyberman54/ESP32-Paxcounter,https://github.com/cyberman54,980
ImperialCollegeLondon,covid19model,https://github.com/ImperialCollegeLondon/covid19model,https://github.com/ImperialCollegeLondon,942
UCSD-AI4H,COVID-CT,https://github.com/UCSD-AI4H/COVID-CT,https://github.com/UCSD-AI4H,919
nychealth,coronavirus-data,https://github.com/nychealth/coronavirus-data,https://github.com/nychealth,900
MoH-Malaysia,covid19-public,https://github.com/MoH-Malaysia/covid19-public,https://github.com/MoH-Malaysia,893
makers-for-life,makair,https://github.com/makers-for-life/makair,https://github.com/makers-for-life,768
