UserName,RepoName,RepoUrl,UserIDUrl,Star
electron,electron,https://github.com/electron/electron,https://github.com/electron,100000
microsoft,playwright,https://github.com/microsoft/playwright,https://github.com/microsoft,33900
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,https://github.com/FiloSottile,33600
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,https://github.com/iamadamdev,21900
ovity,octotree,https://github.com/ovity/octotree,https://github.com/ovity,21800
segmentio,nightmare,https://github.com/segmentio/nightmare,https://github.com/segmentio,19100
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,https://github.com/jaywcjlove,17800
checkly,headless-recorder,https://github.com/checkly/headless-recorder,https://github.com/checkly,13900
prisma-archive,chromeless,https://github.com/prisma-archive/chromeless,https://github.com/prisma-archive,13300
google,WebFundamentals,https://github.com/google/WebFundamentals,https://github.com/google,12400
casesandberg,react-color,https://github.com/casesandberg/react-color,https://github.com/casesandberg,10400
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,https://github.com/GoogleChrome,9400
crimx,ext-saladict,https://github.com/crimx/ext-saladict,https://github.com/crimx,8600
uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,https://github.com/uBlock-LLC,8100
chromedp,chromedp,https://github.com/chromedp/chromedp,https://github.com/chromedp,7200
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,https://github.com/MetaMask,7100
alvarcarto,url-to-pdf-api,https://github.com/alvarcarto/url-to-pdf-api,https://github.com/alvarcarto,6600
kangvcar,InfoSpider,https://github.com/kangvcar/InfoSpider,https://github.com/kangvcar,6000
Kenshin,simpread,https://github.com/Kenshin/simpread,https://github.com/Kenshin,5500
yujiosaka,headless-chrome-crawler,https://github.com/yujiosaka/headless-chrome-crawler,https://github.com/yujiosaka,5200
MontFerret,ferret,https://github.com/MontFerret/ferret,https://github.com/MontFerret,4900
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,https://github.com/gildas-lormeau,4600
firefox-devtools,debugger,https://github.com/firefox-devtools/debugger,https://github.com/firefox-devtools,4600
themerdev,themer,https://github.com/themerdev/themer,https://github.com/themerdev,4600
burtonator,polar-bookshelf,https://github.com/burtonator/polar-bookshelf,https://github.com/burtonator,4400
nieweidong,fetool,https://github.com/nieweidong/fetool,https://github.com/nieweidong,4300
browserless,chrome,https://github.com/browserless/chrome,https://github.com/browserless,4100
moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,https://github.com/moonD4rk,4100
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,https://github.com/ajayyy,4000
brookhong,Surfingkeys,https://github.com/brookhong/Surfingkeys,https://github.com/brookhong,3900
