UserName,RepoName,RepoUrl,UserIDUrl,Star
metabase,metabase,https://github.com/metabase/metabase,https://github.com/metabase,27400
eclipse,deeplearning4j,https://github.com/eclipse/deeplearning4j,https://github.com/eclipse,12300
LightTable,LightTable,https://github.com/LightTable/LightTable,https://github.com/LightTable,11700
logseq,logseq,https://github.com/logseq/logseq,https://github.com/logseq,10200
kanaka,mal,https://github.com/kanaka/mal,https://github.com/kanaka,8400
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,https://github.com/lk-geimfari,8300
penpot,penpot,https://github.com/penpot/penpot,https://github.com/penpot,6900
tonsky,datascript,https://github.com/tonsky/datascript,https://github.com/tonsky,4600
reagent-project,reagent,https://github.com/reagent-project/reagent,https://github.com/reagent-project,4400
riemann,riemann,https://github.com/riemann/riemann,https://github.com/riemann,4100
weavejester,compojure,https://github.com/weavejester/compojure,https://github.com/weavejester,3900
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,https://github.com/bbatsov,3800
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,https://github.com/izhangzhihao,3700
ring-clojure,ring,https://github.com/ring-clojure/ring,https://github.com/ring-clojure,3400
status-im,status-react,https://github.com/status-im/status-react,https://github.com/status-im,3400
clojure-emacs,cider,https://github.com/clojure-emacs/cider,https://github.com/clojure-emacs,3300
viebel,klipse,https://github.com/viebel/klipse,https://github.com/viebel,2900
bhauman,lein-figwheel,https://github.com/bhauman/lein-figwheel,https://github.com/bhauman,2900
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,https://github.com/tallesl,2800
twosigma,beakerx,https://github.com/twosigma/beakerx,https://github.com/twosigma,2600
babashka,babashka,https://github.com/babashka/babashka,https://github.com/babashka,2600
pedestal,pedestal,https://github.com/pedestal/pedestal,https://github.com/pedestal,2500
clj-commons,aleph,https://github.com/clj-commons/aleph,https://github.com/clj-commons,2400
weavejester,hiccup,https://github.com/weavejester/hiccup,https://github.com/weavejester,2400
razum2um,awesome-clojure,https://github.com/razum2um/awesome-clojure,https://github.com/razum2um,2300
http-kit,http-kit,https://github.com/http-kit/http-kit,https://github.com/http-kit,2200
defold,defold,https://github.com/defold/defold,https://github.com/defold,2000
onyx-platform,onyx,https://github.com/onyx-platform/onyx,https://github.com/onyx-platform,2000
anmonteiro,lumo,https://github.com/anmonteiro/lumo,https://github.com/anmonteiro,1900
boot-clj,boot,https://github.com/boot-clj/boot,https://github.com/boot-clj,1700
