UserName,RepoName,RepoUrl,UserIDUrl,Star
realm,SwiftLint,https://github.com/realm/SwiftLint,https://github.com/realm,15700
facebook,infer,https://github.com/facebook/infer,https://github.com/facebook,12900
analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,https://github.com/analysis-tools-dev,9500
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,https://github.com/checkstyle,6600
SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,https://github.com/SonarSource,6500
Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,https://github.com/Kristories,6400
facebook,pyre-check,https://github.com/facebook/pyre-check,https://github.com/facebook,5800
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,https://github.com/reviewdog,4700
simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,https://github.com/simplecov-ruby,4400
detekt,detekt,https://github.com/detekt/detekt,https://github.com/detekt,4300
import-js,eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,https://github.com/import-js,3800
PyCQA,pylint,https://github.com/PyCQA/pylint,https://github.com/PyCQA,3800
pmd,pmd,https://github.com/pmd/pmd,https://github.com/pmd,3700
phpro,grumphp,https://github.com/phpro/grumphp,https://github.com/phpro,3700
htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,https://github.com/htmlhint,2700
kucherenko,jscpd,https://github.com/kucherenko/jscpd,https://github.com/kucherenko,2400
codeclimate,codeclimate,https://github.com/codeclimate/codeclimate,https://github.com/codeclimate,2300
trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,https://github.com/trekhleb,2200
uber,piranha,https://github.com/uber/piranha,https://github.com/uber,1900
wemake-services,wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,https://github.com/wemake-services,1800
ehmicky,cross-platform-node-guide,https://github.com/ehmicky/cross-platform-node-guide,https://github.com/ehmicky,1200
Tencent,feflow,https://github.com/Tencent/feflow,https://github.com/Tencent,1100
urish,typewiz,https://github.com/urish/typewiz,https://github.com/urish,1100
jakzal,phpqa,https://github.com/jakzal/phpqa,https://github.com/jakzal,987
Tencent,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,https://github.com/Tencent,984
joshuaclayton,unused,https://github.com/joshuaclayton/unused,https://github.com/joshuaclayton,874
imgbot,Imgbot,https://github.com/imgbot/Imgbot,https://github.com/imgbot,860
pdepend,pdepend,https://github.com/pdepend/pdepend,https://github.com/pdepend,783
SonarSource,SonarJS,https://github.com/SonarSource/SonarJS,https://github.com/SonarSource,780
SonarSource,SonarTS,https://github.com/SonarSource/SonarTS,https://github.com/SonarSource,768
