UserName,RepoName,RepoUrl,UserIDUrl,Star
vercel,next.js,https://github.com/vercel/next.js,https://github.com/vercel,80900
rust-lang,rust,https://github.com/rust-lang/rust,https://github.com/rust-lang,63100
webpack,webpack,https://github.com/webpack/webpack,https://github.com/webpack,60400
sveltejs,svelte,https://github.com/sveltejs/svelte,https://github.com/sveltejs,55500
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs,52300
babel,babel,https://github.com/babel/babel,https://github.com/babel,40400
JetBrains,kotlin,https://github.com/JetBrains/kotlin,https://github.com/JetBrains,40200
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,https://github.com/parcel-bundler,40200
evanw,esbuild,https://github.com/evanw/esbuild,https://github.com/evanw,30300
markedjs,marked,https://github.com/markedjs/marked,https://github.com/markedjs,26800
vlang,v,https://github.com/vlang/v,https://github.com/vlang,26800
swc-project,swc,https://github.com/swc-project/swc,https://github.com/swc-project,20100
vercel,pkg,https://github.com/vercel/pkg,https://github.com/vercel,19600
v8,v8,https://github.com/v8/v8,https://github.com/v8,19000
AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript,https://github.com/AssemblyScript,13400
Konloch,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,https://github.com/Konloch,12700
nim-lang,Nim,https://github.com/nim-lang/Nim,https://github.com/nim-lang,12500
ziglang,zig,https://github.com/ziglang/zig,https://github.com/ziglang,12400
gopherjs,gopherjs,https://github.com/gopherjs/gopherjs,https://github.com/gopherjs,10900
RustPython,RustPython,https://github.com/RustPython/RustPython,https://github.com/RustPython,10500
compiler-explorer,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,https://github.com/compiler-explorer,10100
goplus,gop,https://github.com/goplus/gop,https://github.com/goplus,7900
apache,tvm,https://github.com/apache/tvm,https://github.com/apache,7700
numba,numba,https://github.com/numba/numba,https://github.com/numba,7200
JetBrains,kotlin-native,https://github.com/JetBrains/kotlin-native,https://github.com/JetBrains,7100
elm,compiler,https://github.com/elm/compiler,https://github.com/elm,6700
aalhour,awesome-compilers,https://github.com/aalhour/awesome-compilers,https://github.com/aalhour,6500
Nuitka,Nuitka,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka,6400
DoctorWkt,acwj,https://github.com/DoctorWkt/acwj,https://github.com/DoctorWkt,6000
rescript-lang,rescript-compiler,https://github.com/rescript-lang/rescript-compiler,https://github.com/rescript-lang,5700
