UserName,RepoName,RepoUrl,UserIDUrl,Star
localstack,localstack,https://github.com/localstack/localstack,https://github.com/localstack,38500
harness,drone,https://github.com/harness/drone,https://github.com/harness,24500
jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,https://github.com/jenkinsci,18400
auchenberg,volkswagen,https://github.com/auchenberg/volkswagen,https://github.com/auchenberg,12200
openshift,origin,https://github.com/openshift/origin,https://github.com/openshift,8100
gocd,gocd,https://github.com/gocd/gocd,https://github.com/gocd,6400
concourse,concourse,https://github.com/concourse/concourse,https://github.com/concourse,6200
theonedev,onedev,https://github.com/theonedev/onedev,https://github.com/theonedev,5000
buildbot,buildbot,https://github.com/buildbot/buildbot,https://github.com/buildbot,4800
gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia,https://github.com/gaia-pipeline,4600
Strider-CD,strider,https://github.com/Strider-CD/strider,https://github.com/Strider-CD,4600
jenkins-x,jx,https://github.com/jenkins-x/jx,https://github.com/jenkins-x,4100
ovh,cds,https://github.com/ovh/cds,https://github.com/ovh,3700
xcpretty,xcpretty,https://github.com/xcpretty/xcpretty,https://github.com/xcpretty,3700
hygieia,hygieia,https://github.com/hygieia/hygieia,https://github.com/hygieia,3700
cake-build,cake,https://github.com/cake-build/cake,https://github.com/cake-build,3200
werf,werf,https://github.com/werf/werf,https://github.com/werf,2900
iterative,cml,https://github.com/iterative/cml,https://github.com/iterative,2900
ligurio,awesome-ci,https://github.com/ligurio/awesome-ci,https://github.com/ligurio,2800
JamesIves,github-pages-deploy-action,https://github.com/JamesIves/github-pages-deploy-action,https://github.com/JamesIves,2600
tox-dev,tox,https://github.com/tox-dev/tox,https://github.com/tox-dev,2600
TheLartians,ModernCppStarter,https://github.com/TheLartians/ModernCppStarter,https://github.com/TheLartians,2500
dancryer,PHPCI,https://github.com/dancryer/PHPCI,https://github.com/dancryer,2400
dreamans,syncd,https://github.com/dreamans/syncd,https://github.com/dreamans,2100
shivammathur,setup-php,https://github.com/shivammathur/setup-php,https://github.com/shivammathur,2000
houndci,hound,https://github.com/houndci/hound,https://github.com/houndci,1900
fabric8io,fabric8,https://github.com/fabric8io/fabric8,https://github.com/fabric8io,1800
lastbackend,lastbackend,https://github.com/lastbackend/lastbackend,https://github.com/lastbackend,1500
Flagsmith,flagsmith,https://github.com/Flagsmith/flagsmith,https://github.com/Flagsmith,1400
nuke-build,nuke,https://github.com/nuke-build/nuke,https://github.com/nuke-build,1400
